Days for shipping (real),Days for shipment (scheduled),Delivery Status,Shipping Mode,shipping date (DateOrders),Ship Id
6,4,Late delivery,Standard Class,9/14/2015 1:03,143696
6,4,Shipping canceled,Standard Class,9/13/2015 11:02,467846
2,4,Advance shipping,Standard Class,9/3/2015 22:15,855284
3,4,Advance shipping,Standard Class,9/1/2015 14:01,899064
6,4,Late delivery,Standard Class,9/2/2015 17:32,792298
2,2,Shipping on time,Second Class,8/26/2015 5:48,452967
2,1,Late delivery,First Class,7/31/2015 18:06,522639
4,4,Shipping on time,Standard Class,8/1/2015 2:51,629297
5,2,Late delivery,Second Class,7/29/2015 15:07,508099
2,4,Advance shipping,Standard Class,7/21/2015 2:41,457268
1,0,Late delivery,Same Day,7/19/2015 4:32,670727
2,4,Advance shipping,Standard Class,7/16/2015 15:50,946494
1,0,Late delivery,Same Day,7/8/2015 6:49,391758
3,4,Shipping canceled,Standard Class,7/1/2015 18:19,601865
6,2,Late delivery,Second Class,6/23/2015 11:51,815323
5,4,Late delivery,Standard Class,6/7/2015 7:08,796931
5,2,Late delivery,Second Class,6/6/2015 20:38,801369
4,4,Shipping on time,Standard Class,5/30/2015 8:22,560340
4,4,Shipping on time,Standard Class,5/29/2015 9:36,414862
6,2,Late delivery,Second Class,5/28/2015 8:44,746027
5,4,Late delivery,Standard Class,5/25/2015 0:19,744881
2,1,Late delivery,First Class,5/21/2015 3:39,955146
2,2,Shipping on time,Second Class,5/16/2015 8:23,361582
4,4,Shipping on time,Standard Class,5/15/2015 2:16,790037
6,4,Late delivery,Standard Class,5/16/2015 12:57,806194
4,4,Shipping on time,Standard Class,5/13/2015 11:43,937030
2,4,Advance shipping,Standard Class,5/6/2015 22:25,562107
1,0,Late delivery,Same Day,4/17/2015 6:35,692914
4,4,Shipping on time,Standard Class,4/15/2015 23:20,343195
4,2,Late delivery,Second Class,4/1/2015 1:58,676758
3,4,Advance shipping,Standard Class,3/28/2015 19:19,432193
1,0,Shipping canceled,Same Day,3/26/2015 3:28,481246
2,1,Late delivery,First Class,3/24/2015 6:32,866268
5,4,Late delivery,Standard Class,3/23/2015 7:36,986242
4,4,Shipping canceled,Standard Class,3/21/2015 18:59,736973
4,4,Shipping on time,Standard Class,3/20/2015 9:42,800828
4,4,Shipping canceled,Standard Class,3/17/2015 8:08,398157
2,1,Shipping canceled,First Class,3/14/2015 1:39,519063
4,2,Late delivery,Second Class,3/12/2015 19:31,807650
5,4,Late delivery,Standard Class,3/3/2015 0:37,394951
5,4,Late delivery,Standard Class,3/1/2015 20:35,739015
5,4,Late delivery,Standard Class,2/28/2015 7:48,961529
6,4,Late delivery,Standard Class,2/25/2015 18:19,670908
5,4,Late delivery,Standard Class,2/16/2015 13:46,596051
4,4,Shipping on time,Standard Class,2/13/2015 17:38,756636
4,4,Shipping on time,Standard Class,2/10/2015 2:03,710358
5,2,Late delivery,Second Class,2/6/2015 20:48,252205
3,4,Shipping canceled,Standard Class,2/2/2015 8:32,440522
0,0,Shipping on time,Same Day,1/29/2015 18:58,314558
3,2,Late delivery,Second Class,1/30/2015 8:43,237280
2,4,Advance shipping,Standard Class,1/21/2015 16:26,381750
3,4,Advance shipping,Standard Class,1/22/2015 2:46,288770
4,4,Shipping on time,Standard Class,1/17/2015 22:45,481965
6,4,Late delivery,Standard Class,1/19/2015 7:41,973433
2,1,Late delivery,First Class,1/12/2015 4:00,990478
5,4,Late delivery,Standard Class,1/13/2015 8:13,719993
6,4,Late delivery,Standard Class,1/14/2015 5:04,166381
3,4,Advance shipping,Standard Class,9/5/2017 8:37,485703
1,0,Late delivery,Same Day,9/1/2017 9:14,522465
5,4,Late delivery,Standard Class,9/2/2017 10:12,846254
5,2,Late delivery,Second Class,8/31/2017 14:24,143986
3,4,Advance shipping,Standard Class,8/22/2017 6:32,261263
3,4,Advance shipping,Standard Class,8/20/2017 21:15,718908
2,4,Advance shipping,Standard Class,8/16/2017 19:19,516641
5,4,Late delivery,Standard Class,8/13/2017 11:59,329544
2,2,Shipping on time,Second Class,8/7/2017 12:51,126733
2,4,Advance shipping,Standard Class,8/2/2017 1:29,168469
5,4,Late delivery,Standard Class,8/4/2017 23:01,187314
3,4,Advance shipping,Standard Class,7/29/2017 16:43,669255
1,0,Late delivery,Same Day,7/24/2017 9:48,245242
2,1,Late delivery,First Class,7/21/2017 9:33,516942
6,2,Late delivery,Second Class,7/21/2017 20:46,515752
6,4,Late delivery,Standard Class,7/21/2017 6:45,348908
1,0,Late delivery,Same Day,7/15/2017 0:53,721746
2,1,Late delivery,First Class,7/11/2017 2:55,836905
5,4,Late delivery,Standard Class,7/11/2017 3:26,370016
5,2,Shipping canceled,Second Class,7/8/2017 3:37,374466
5,4,Late delivery,Standard Class,7/4/2017 3:16,104590
4,2,Late delivery,Second Class,7/2/2017 19:55,999107
3,4,Advance shipping,Standard Class,6/24/2017 7:08,714684
5,4,Late delivery,Standard Class,6/23/2017 20:17,483696
2,4,Advance shipping,Standard Class,6/16/2017 13:38,902386
4,4,Shipping on time,Standard Class,6/18/2017 5:34,524908
2,4,Advance shipping,Standard Class,6/12/2017 4:32,992950
5,4,Late delivery,Standard Class,6/10/2017 1:12,321607
6,4,Late delivery,Standard Class,6/6/2017 4:11,303968
3,4,Advance shipping,Standard Class,6/2/2017 23:38,843757
2,1,Late delivery,First Class,5/19/2017 21:02,545395
2,4,Advance shipping,Standard Class,5/18/2017 22:57,543514
4,4,Shipping on time,Standard Class,5/19/2017 10:52,448732
6,4,Shipping canceled,Standard Class,5/17/2017 11:13,452338
5,4,Late delivery,Standard Class,5/16/2017 5:37,477064
5,4,Late delivery,Standard Class,5/14/2017 22:05,904209
4,4,Shipping on time,Standard Class,5/9/2017 9:08,904961
1,0,Shipping canceled,Same Day,5/4/2017 10:06,772959
3,4,Advance shipping,Standard Class,5/2/2017 16:09,155908
2,1,Late delivery,First Class,4/29/2017 10:12,976851
2,1,Late delivery,First Class,4/29/2017 8:48,360463
6,4,Late delivery,Standard Class,5/1/2017 1:05,869309
2,2,Shipping on time,Second Class,4/25/2017 2:08,751686
6,2,Late delivery,Second Class,4/29/2017 1:47,233389
3,4,Advance shipping,Standard Class,9/10/2017 16:29,240412
2,4,Advance shipping,Standard Class,9/3/2017 20:00,885078
2,1,Late delivery,First Class,9/3/2017 11:15,133413
6,4,Late delivery,Standard Class,8/25/2017 0:34,787470
3,2,Late delivery,Second Class,8/20/2017 7:14,351033
4,4,Shipping on time,Standard Class,8/20/2017 12:19,155343
3,4,Advance shipping,Standard Class,8/18/2017 9:41,794569
4,4,Shipping on time,Standard Class,8/18/2017 7:46,869733
3,4,Advance shipping,Standard Class,8/10/2017 9:00,618631
4,2,Late delivery,Second Class,8/10/2017 19:20,495669
5,4,Late delivery,Standard Class,8/11/2017 0:25,977611
3,4,Advance shipping,Standard Class,8/8/2017 23:43,290456
6,2,Late delivery,Second Class,8/11/2017 12:30,865761
2,2,Shipping on time,Second Class,8/7/2017 11:06,499562
4,4,Shipping on time,Standard Class,8/3/2017 10:25,279647
3,4,Advance shipping,Standard Class,7/25/2017 16:23,624557
6,4,Late delivery,Standard Class,7/23/2017 4:18,494046
2,1,Late delivery,First Class,7/16/2017 0:37,759821
4,4,Shipping on time,Standard Class,7/15/2017 5:43,903862
6,4,Late delivery,Standard Class,7/13/2017 11:19,437746
6,2,Late delivery,Second Class,7/13/2017 2:34,743187
4,2,Late delivery,Second Class,7/10/2017 20:36,385991
4,4,Shipping on time,Standard Class,7/10/2017 10:06,610795
3,2,Late delivery,Second Class,7/8/2017 16:14,672563
2,4,Advance shipping,Standard Class,7/2/2017 18:31,870175
4,4,Shipping on time,Standard Class,7/4/2017 12:12,184097
5,2,Late delivery,Second Class,6/30/2017 2:56,380910
4,4,Shipping on time,Standard Class,6/28/2017 17:49,120850
6,2,Late delivery,Second Class,6/30/2017 9:46,825849
5,4,Late delivery,Standard Class,6/27/2017 15:22,423463
4,4,Shipping on time,Standard Class,6/25/2017 16:15,939620
5,4,Late delivery,Standard Class,6/24/2017 17:18,573579
6,4,Late delivery,Standard Class,6/24/2017 15:23,741264
2,1,Late delivery,First Class,6/20/2017 5:55,377463
3,2,Shipping canceled,Second Class,6/20/2017 19:03,572528
2,4,Shipping canceled,Standard Class,6/19/2017 16:57,601584
4,2,Late delivery,Second Class,6/20/2017 11:52,265575
3,4,Advance shipping,Standard Class,6/9/2017 4:32,417928
2,1,Late delivery,First Class,6/6/2017 12:15,471895
2,4,Advance shipping,Standard Class,6/3/2017 13:49,791532
2,1,Late delivery,First Class,6/2/2017 9:06,679369
2,4,Advance shipping,Standard Class,5/28/2017 5:25,497803
6,4,Late delivery,Standard Class,5/27/2017 16:28,881736
2,4,Advance shipping,Standard Class,5/16/2017 6:08,270830
1,0,Late delivery,Same Day,5/14/2017 5:53,318140
3,4,Advance shipping,Standard Class,5/13/2017 2:39,623214
2,4,Advance shipping,Standard Class,5/12/2017 2:18,303237
2,1,Late delivery,First Class,5/9/2017 7:02,996695
4,2,Late delivery,Second Class,5/11/2017 1:25,770520
5,4,Late delivery,Standard Class,5/10/2017 4:14,455367
2,1,Late delivery,First Class,5/1/2017 0:23,607058
6,4,Late delivery,Standard Class,9/12/2017 10:01,939648
6,4,Late delivery,Standard Class,9/11/2017 9:29,254782
2,1,Late delivery,First Class,8/30/2017 11:15,709887
2,1,Late delivery,First Class,8/29/2017 22:17,115188
4,4,Shipping on time,Standard Class,8/30/2017 8:48,716460
3,4,Advance shipping,Standard Class,8/28/2017 16:41,943690
3,4,Advance shipping,Standard Class,8/24/2017 23:21,130515
2,4,Advance shipping,Standard Class,8/22/2017 13:43,121368
2,4,Advance shipping,Standard Class,8/19/2017 22:39,224471
4,4,Shipping on time,Standard Class,8/21/2017 14:35,417964
2,4,Advance shipping,Standard Class,8/15/2017 18:48,104592
3,4,Advance shipping,Standard Class,8/15/2017 2:52,804380
6,4,Late delivery,Standard Class,8/17/2017 22:39,700547
2,1,Late delivery,First Class,8/10/2017 22:08,719632
4,4,Shipping on time,Standard Class,8/9/2017 18:49,126798
3,4,Advance shipping,Standard Class,8/6/2017 8:39,148911
6,4,Late delivery,Standard Class,8/8/2017 19:42,119743
3,4,Advance shipping,Standard Class,8/5/2017 18:38,678440
5,4,Late delivery,Standard Class,7/25/2017 5:31,982406
5,4,Late delivery,Standard Class,7/22/2017 2:12,184580
4,4,Shipping on time,Standard Class,7/19/2017 7:48,136937
2,1,Late delivery,First Class,7/13/2017 17:37,312756
4,4,Shipping on time,Standard Class,7/8/2017 9:03,241468
2,1,Late delivery,First Class,7/5/2017 2:55,660667
5,4,Late delivery,Standard Class,7/3/2017 9:45,356890
2,1,Late delivery,First Class,6/29/2017 2:14,712949
2,1,Late delivery,First Class,6/22/2017 22:23,872384
2,1,Late delivery,First Class,6/19/2017 12:24,846130
3,4,Advance shipping,Standard Class,6/20/2017 5:03,587513
2,2,Shipping on time,Second Class,6/17/2017 22:55,788979
2,1,Late delivery,First Class,6/5/2017 16:37,566236
3,4,Shipping canceled,Standard Class,6/5/2017 12:57,275953
3,4,Advance shipping,Standard Class,6/5/2017 0:41,854461
2,4,Advance shipping,Standard Class,6/2/2017 23:49,652411
3,2,Shipping canceled,Second Class,6/2/2017 21:53,322989
4,4,Shipping on time,Standard Class,6/3/2017 15:14,149350
2,1,Shipping canceled,First Class,5/18/2017 12:06,355499
3,4,Advance shipping,Standard Class,5/14/2017 17:11,459199
6,4,Late delivery,Standard Class,5/15/2017 3:10,657702
4,2,Late delivery,Second Class,5/6/2017 2:18,304791
2,1,Late delivery,First Class,5/2/2017 13:10,652763
4,4,Shipping on time,Standard Class,5/1/2017 4:56,995101
4,2,Late delivery,Second Class,4/28/2017 15:38,686695
3,4,Advance shipping,Standard Class,4/26/2017 21:46,847545
6,4,Late delivery,Standard Class,9/8/2017 9:40,467057
4,4,Shipping on time,Standard Class,9/4/2017 0:54,339855
5,4,Late delivery,Standard Class,9/2/2017 4:56,114965
3,4,Advance shipping,Standard Class,8/26/2017 20:53,234986
6,4,Late delivery,Standard Class,8/29/2017 14:56,436534
3,2,Late delivery,Second Class,8/17/2017 2:09,787659
2,4,Advance shipping,Standard Class,8/13/2017 16:00,426413
6,4,Late delivery,Standard Class,8/8/2017 7:26,563296
3,4,Advance shipping,Standard Class,8/4/2017 19:52,795299
2,1,Late delivery,First Class,7/31/2017 13:44,303977
2,1,Late delivery,First Class,7/30/2017 4:49,440921
2,1,Late delivery,First Class,7/29/2017 7:26,816680
4,4,Shipping on time,Standard Class,7/29/2017 9:33,956651
0,0,Shipping on time,Same Day,7/19/2017 21:12,228414
6,4,Late delivery,Standard Class,7/23/2017 23:34,551109
2,4,Advance shipping,Standard Class,7/12/2017 13:15,887656
2,1,Late delivery,First Class,7/9/2017 20:47,108481
2,2,Shipping on time,Second Class,7/9/2017 2:55,727944
5,2,Late delivery,Second Class,7/11/2017 8:42,173493
6,4,Late delivery,Standard Class,7/6/2017 14:39,578917
1,0,Late delivery,Same Day,6/30/2017 1:47,978343
3,4,Advance shipping,Standard Class,6/21/2017 23:05,585803
6,4,Late delivery,Standard Class,6/21/2017 17:18,917457
6,4,Late delivery,Standard Class,6/21/2017 13:48,722250
3,4,Advance shipping,Standard Class,6/13/2017 11:53,582955
5,4,Late delivery,Standard Class,6/13/2017 11:32,884751
5,4,Late delivery,Standard Class,6/11/2017 3:29,599276
3,4,Advance shipping,Standard Class,6/5/2017 9:27,535873
3,4,Advance shipping,Standard Class,6/4/2017 19:26,818161
6,2,Late delivery,Second Class,6/4/2017 22:25,976300
2,1,Late delivery,First Class,5/26/2017 15:14,231481
2,1,Late delivery,First Class,5/25/2017 3:09,178823
2,1,Late delivery,First Class,5/24/2017 0:10,723147
3,4,Shipping canceled,Standard Class,5/17/2017 20:30,662533
6,2,Late delivery,Second Class,5/13/2017 5:37,959018
3,4,Advance shipping,Standard Class,5/7/2017 8:15,978392
3,4,Advance shipping,Standard Class,5/3/2017 4:24,458248
4,4,Shipping on time,Standard Class,5/3/2017 4:14,921863
4,4,Shipping on time,Standard Class,5/1/2017 1:26,522545
5,4,Late delivery,Standard Class,5/1/2017 4:46,221752
3,4,Advance shipping,Standard Class,4/29/2017 2:19,793010
0,0,Shipping on time,Same Day,4/23/2017 21:09,635138
4,2,Late delivery,Second Class,4/25/2017 14:03,344525
2,4,Advance shipping,Standard Class,4/22/2017 14:35,572515
6,2,Late delivery,Second Class,4/11/2017 20:23,535460
3,2,Late delivery,Second Class,4/8/2017 19:20,602010
2,4,Advance shipping,Standard Class,4/3/2017 22:08,154276
2,4,Advance shipping,Standard Class,3/10/2017 13:04,259934
2,1,Late delivery,First Class,3/9/2017 20:57,801302
5,4,Late delivery,Standard Class,3/11/2017 7:49,310353
5,2,Late delivery,Second Class,2/28/2017 0:18,213762
6,4,Late delivery,Standard Class,2/26/2017 21:51,953302
2,4,Advance shipping,Standard Class,2/15/2017 2:46,150195
1,0,Late delivery,Same Day,2/13/2017 8:27,671758
2,4,Advance shipping,Standard Class,2/10/2017 21:10,385416
6,4,Late delivery,Standard Class,2/11/2017 13:59,496448
5,4,Late delivery,Standard Class,2/5/2017 16:16,281356
3,4,Advance shipping,Standard Class,1/29/2017 5:56,511267
5,4,Late delivery,Standard Class,1/24/2017 4:43,454535
4,4,Shipping on time,Standard Class,1/12/2017 0:22,727773
5,4,Late delivery,Standard Class,1/9/2017 7:22,218812
5,2,Late delivery,Second Class,12/31/2016 14:55,169298
5,2,Late delivery,Second Class,12/30/2016 0:23,698166
4,4,Shipping on time,Standard Class,12/27/2016 11:15,442702
5,4,Late delivery,Standard Class,12/24/2016 23:31,373694
6,4,Late delivery,Standard Class,12/15/2016 11:37,959429
4,4,Shipping on time,Standard Class,12/7/2016 6:01,508161
3,4,Advance shipping,Standard Class,11/22/2016 21:06,345047
2,1,Late delivery,First Class,11/17/2016 1:29,616726
3,4,Advance shipping,Standard Class,11/15/2016 15:41,457589
3,2,Late delivery,Second Class,11/11/2016 10:05,718331
2,1,Late delivery,First Class,11/9/2016 7:06,630278
2,4,Advance shipping,Standard Class,11/7/2016 16:55,587776
5,2,Late delivery,Second Class,11/8/2016 2:54,445059
6,2,Late delivery,Second Class,11/8/2016 2:44,462005
5,2,Late delivery,Second Class,11/5/2016 8:20,144510
2,4,Advance shipping,Standard Class,10/31/2016 0:59,388631
1,0,Late delivery,Same Day,10/24/2016 4:46,428010
2,1,Late delivery,First Class,10/19/2016 17:07,230535
4,4,Shipping on time,Standard Class,10/20/2016 7:08,527590
5,4,Late delivery,Standard Class,10/11/2016 16:15,186677
4,4,Shipping on time,Standard Class,10/10/2016 5:24,987632
3,4,Advance shipping,Standard Class,10/1/2016 0:51,723614
2,4,Advance shipping,Standard Class,9/29/2016 10:29,966692
5,2,Late delivery,Second Class,9/19/2016 6:29,506498
5,4,Late delivery,Standard Class,9/15/2016 13:08,791031
6,4,Late delivery,Standard Class,9/12/2016 21:54,501294
4,2,Late delivery,Second Class,9/5/2016 22:05,793240
2,1,Late delivery,First Class,9/1/2016 23:51,923787
2,4,Advance shipping,Standard Class,8/30/2016 21:03,457541
5,2,Late delivery,Second Class,9/2/2016 18:35,478594
6,4,Late delivery,Standard Class,9/1/2016 23:09,898237
6,4,Late delivery,Standard Class,8/25/2016 21:14,108689
5,4,Late delivery,Standard Class,8/24/2016 3:22,215543
2,4,Advance shipping,Standard Class,8/19/2016 4:46,684738
2,4,Advance shipping,Standard Class,8/18/2016 16:30,534067
5,4,Late delivery,Standard Class,8/20/2016 20:32,328162
3,4,Advance shipping,Standard Class,8/18/2016 4:04,560624
2,1,Late delivery,First Class,8/16/2016 1:06,422217
2,2,Shipping on time,Second Class,8/10/2016 19:19,284185
6,4,Late delivery,Standard Class,8/13/2016 14:56,772416
5,4,Late delivery,Standard Class,8/8/2016 1:59,192423
4,4,Shipping on time,Standard Class,8/4/2016 1:49,643905
2,1,Late delivery,First Class,7/31/2016 18:59,523129
5,2,Late delivery,Second Class,7/28/2016 11:59,241375
6,2,Late delivery,Second Class,7/21/2016 2:53,227985
4,4,Shipping on time,Standard Class,7/17/2016 11:39,252322
2,1,Late delivery,First Class,7/12/2016 2:43,492439
3,4,Advance shipping,Standard Class,7/9/2016 0:37,979443
5,4,Late delivery,Standard Class,7/1/2016 17:06,502815
5,4,Late delivery,Standard Class,7/1/2016 1:20,985123
5,4,Late delivery,Standard Class,6/25/2016 20:58,660178
2,2,Shipping on time,Second Class,6/20/2016 22:22,350341
6,4,Late delivery,Standard Class,6/21/2016 8:11,586207
2,4,Advance shipping,Standard Class,6/15/2016 9:14,386971
4,4,Shipping on time,Standard Class,6/10/2016 16:47,206823
2,1,Late delivery,First Class,6/8/2016 13:38,619387
4,4,Shipping on time,Standard Class,5/26/2016 3:40,109352
5,4,Late delivery,Standard Class,5/23/2016 7:10,120009
2,4,Advance shipping,Standard Class,5/16/2016 4:01,814188
3,2,Late delivery,Second Class,5/10/2016 18:13,351334
2,4,Advance shipping,Standard Class,5/9/2016 12:37,395900
4,4,Shipping on time,Standard Class,5/4/2016 20:10,900358
3,4,Advance shipping,Standard Class,4/24/2016 16:51,486266
2,4,Advance shipping,Standard Class,4/10/2016 6:11,928685
3,4,Advance shipping,Standard Class,4/7/2016 13:11,562003
5,4,Late delivery,Standard Class,4/7/2016 16:21,688784
3,2,Late delivery,Second Class,3/28/2016 6:12,710635
2,4,Advance shipping,Standard Class,3/20/2016 0:25,306740
3,4,Shipping canceled,Standard Class,3/19/2016 13:44,322046
5,4,Late delivery,Standard Class,3/14/2016 16:02,916578
2,1,Late delivery,First Class,3/7/2016 22:41,910574
2,4,Advance shipping,Standard Class,3/2/2016 1:30,698806
2,1,Late delivery,First Class,2/26/2016 10:05,952632
3,2,Late delivery,Second Class,2/27/2016 9:44,145353
4,4,Shipping on time,Standard Class,2/25/2016 19:02,448290
2,1,Late delivery,First Class,2/16/2016 18:10,371062
2,4,Advance shipping,Standard Class,2/3/2016 7:51,867124
3,4,Advance shipping,Standard Class,1/31/2016 9:36,129529
0,0,Shipping on time,Same Day,1/27/2016 20:23,462891
1,0,Late delivery,Same Day,1/12/2016 9:01,979140
5,4,Late delivery,Standard Class,1/15/2016 11:23,305579
2,1,Late delivery,First Class,1/9/2016 20:19,866826
6,4,Late delivery,Standard Class,1/13/2016 10:09,719333
2,4,Advance shipping,Standard Class,12/28/2015 18:14,279249
4,4,Shipping on time,Standard Class,12/29/2015 23:40,398517
0,0,Shipping canceled,Same Day,12/18/2015 21:29,532185
6,4,Late delivery,Standard Class,12/22/2015 19:39,873537
5,4,Late delivery,Standard Class,12/21/2015 10:32,793419
3,4,Advance shipping,Standard Class,12/9/2015 23:52,610004
3,4,Advance shipping,Standard Class,12/7/2015 19:19,142719
3,2,Late delivery,Second Class,12/7/2015 17:34,602835
2,1,Late delivery,First Class,12/6/2015 8:06,592224
5,4,Late delivery,Standard Class,12/2/2015 18:06,884957
4,2,Late delivery,Second Class,11/24/2015 15:50,179902
5,2,Late delivery,Second Class,11/24/2015 12:09,241173
5,4,Late delivery,Standard Class,11/21/2015 8:50,740529
5,2,Late delivery,Second Class,11/9/2015 11:18,919347
3,4,Advance shipping,Standard Class,11/1/2015 9:12,617630
3,4,Advance shipping,Standard Class,10/26/2015 6:04,696665
2,4,Shipping canceled,Standard Class,10/19/2015 23:35,459972
5,2,Late delivery,Second Class,10/22/2015 5:22,740025
2,2,Shipping on time,Second Class,10/17/2015 3:16,463628
2,2,Shipping on time,Second Class,10/10/2015 20:37,468751
3,4,Advance shipping,Standard Class,10/11/2015 1:42,283046
5,2,Late delivery,Second Class,10/10/2015 0:50,271260
3,4,Advance shipping,Standard Class,10/6/2015 11:21,460469
5,4,Late delivery,Standard Class,10/5/2015 3:28,289578
4,4,Shipping on time,Standard Class,10/2/2015 21:20,276614
5,2,Late delivery,Second Class,9/28/2015 10:18,905629
6,4,Late delivery,Standard Class,9/27/2015 7:51,185687
3,2,Late delivery,Second Class,8/25/2015 10:21,216146
3,4,Advance shipping,Standard Class,8/21/2015 17:01,453362
2,4,Advance shipping,Standard Class,8/20/2015 16:40,471126
2,4,Advance shipping,Standard Class,8/20/2015 14:55,183923
6,4,Late delivery,Standard Class,8/22/2015 18:46,963768
5,4,Late delivery,Standard Class,8/21/2015 6:09,122657
4,4,Shipping on time,Standard Class,8/12/2015 5:07,590972
5,2,Late delivery,Second Class,8/9/2015 20:53,605930
4,4,Shipping on time,Standard Class,8/7/2015 11:15,765452
4,4,Shipping on time,Standard Class,8/4/2015 20:12,955987
2,1,Late delivery,First Class,7/27/2015 3:44,263912
6,4,Late delivery,Standard Class,7/30/2015 4:58,862741
5,4,Late delivery,Standard Class,7/23/2015 6:43,574963
2,1,Late delivery,First Class,7/16/2015 10:56,997329
2,1,Late delivery,First Class,7/14/2015 4:38,376324
1,0,Late delivery,Same Day,7/12/2015 5:46,462193
0,0,Shipping on time,Same Day,7/10/2015 22:14,523436
6,2,Late delivery,Second Class,7/15/2015 21:37,799764
2,1,Late delivery,First Class,7/11/2015 11:07,413586
2,1,Late delivery,First Class,7/8/2015 13:24,639413
5,4,Late delivery,Standard Class,6/27/2015 10:37,706175
2,4,Advance shipping,Standard Class,6/11/2015 16:46,805742
2,1,Late delivery,First Class,6/10/2015 22:12,413025
3,4,Advance shipping,Standard Class,6/11/2015 11:20,924323
4,4,Shipping on time,Standard Class,6/11/2015 19:55,404892
1,0,Late delivery,Same Day,6/6/2015 8:58,161172
2,4,Advance shipping,Standard Class,6/7/2015 11:10,604276
6,4,Late delivery,Standard Class,6/1/2015 2:04,535589
6,4,Late delivery,Standard Class,5/31/2015 15:33,567383
3,2,Late delivery,Second Class,5/24/2015 17:40,229580
5,4,Late delivery,Standard Class,5/26/2015 2:36,512777
4,4,Shipping on time,Standard Class,5/19/2015 2:36,426593
4,4,Shipping on time,Standard Class,5/13/2015 16:59,721840
4,4,Shipping on time,Standard Class,5/11/2015 10:41,354407
5,4,Late delivery,Standard Class,5/10/2015 2:58,365922
6,4,Shipping canceled,Standard Class,5/7/2015 4:44,304319
4,4,Shipping on time,Standard Class,4/26/2015 8:04,858615
5,4,Late delivery,Standard Class,4/25/2015 21:23,108421
3,4,Advance shipping,Standard Class,4/23/2015 6:40,967497
2,1,Late delivery,First Class,4/19/2015 5:27,978950
2,2,Shipping on time,Second Class,4/18/2015 4:13,376773
4,4,Shipping on time,Standard Class,4/19/2015 7:54,839878
3,4,Advance shipping,Standard Class,4/16/2015 10:01,831971
4,4,Shipping on time,Standard Class,4/7/2015 12:08,126035
5,4,Late delivery,Standard Class,4/7/2015 17:12,766960
2,4,Advance shipping,Standard Class,4/3/2015 12:08,974381
0,0,Shipping on time,Same Day,3/27/2015 20:48,169491
6,4,Late delivery,Standard Class,4/1/2015 19:09,717684
2,4,Advance shipping,Standard Class,3/19/2015 7:46,811933
3,4,Advance shipping,Standard Class,3/19/2015 4:06,264901
2,2,Shipping on time,Second Class,2/14/2015 20:15,506791
4,2,Late delivery,Second Class,2/14/2015 19:54,101288
3,2,Late delivery,Second Class,2/11/2015 0:59,228772
3,4,Advance shipping,Standard Class,2/10/2015 10:59,197814
6,4,Late delivery,Standard Class,2/4/2015 0:18,617238
5,2,Late delivery,Second Class,1/29/2015 2:35,196134
3,4,Shipping canceled,Standard Class,1/24/2015 14:20,493439
3,4,Advance shipping,Standard Class,1/21/2015 7:30,137835
6,2,Late delivery,Second Class,1/20/2015 23:58,422200
2,1,Late delivery,First Class,1/13/2015 8:23,201871
3,4,Advance shipping,Standard Class,1/14/2015 3:50,284706
4,2,Late delivery,Second Class,9/3/2017 2:08,889316
3,4,Shipping canceled,Standard Class,8/31/2017 0:44,404212
6,4,Late delivery,Standard Class,8/29/2017 11:26,833709
2,4,Shipping canceled,Standard Class,8/20/2017 14:25,401104
2,1,Late delivery,First Class,8/20/2017 10:34,453423
2,4,Advance shipping,Standard Class,8/20/2017 9:10,246079
6,4,Shipping canceled,Standard Class,8/15/2017 16:21,664347
4,4,Shipping on time,Standard Class,8/13/2017 15:39,150128
2,1,Late delivery,First Class,8/5/2017 10:24,909196
2,4,Advance shipping,Standard Class,8/2/2017 11:59,982676
6,4,Shipping canceled,Standard Class,8/4/2017 15:51,814753
2,2,Shipping on time,Second Class,7/24/2017 21:17,373068
5,4,Late delivery,Standard Class,7/23/2017 18:29,674589
0,0,Shipping on time,Same Day,7/16/2017 12:58,900505
2,4,Advance shipping,Standard Class,7/16/2017 20:36,571552
2,1,Late delivery,First Class,7/11/2017 21:08,539324
4,4,Shipping on time,Standard Class,7/6/2017 15:00,176518
4,4,Shipping on time,Standard Class,6/26/2017 20:16,828786
5,4,Late delivery,Standard Class,6/11/2017 6:59,309928
3,2,Late delivery,Second Class,5/30/2017 20:19,788445
6,4,Late delivery,Standard Class,5/26/2017 17:42,208171
3,4,Advance shipping,Standard Class,5/19/2017 4:02,910808
0,0,Shipping on time,Same Day,5/11/2017 16:13,159696
5,4,Late delivery,Standard Class,5/5/2017 22:38,994781
5,2,Late delivery,Second Class,5/2/2017 22:48,963497
5,2,Late delivery,Second Class,4/28/2017 15:27,172668
2,4,Advance shipping,Standard Class,4/25/2017 7:24,243055
5,2,Late delivery,Second Class,9/12/2017 8:26,599624
6,4,Late delivery,Standard Class,9/5/2017 4:35,212273
0,0,Shipping on time,Same Day,8/29/2017 21:19,331306
2,1,Shipping canceled,First Class,8/21/2017 3:44,478907
4,4,Shipping on time,Standard Class,8/20/2017 0:03,185618
4,4,Shipping on time,Standard Class,8/19/2017 6:32,269940
6,4,Late delivery,Standard Class,8/16/2017 4:37,991587
2,4,Advance shipping,Standard Class,8/11/2017 21:58,212066
2,4,Advance shipping,Standard Class,8/7/2017 18:07,178649
